ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city
603779.SH,黄祖超,孙砚田,刘玉磊,33274.9154,20071217,山东,烟台市
688669.SH,陈钢,陈钢,伍洋,9333.3334,20070608,广东,清远市
688633.SH,钱淑娟,夏斌,杨志城,7273.3334,20011024,江苏,南通市
601058.SH,袁仲雪,袁仲雪,宋军,265520.345,20021118,山东,青岛市
603043.SH,徐伟兵,赵利平,陈扬,40399.6184,19920511,广东,广州市
688169.SH,昌敬,昌敬,孙佳,6666.6667,20140704,北京,北京市
688578.SH,杜锦豪,牟艳萍,李硕,45000,20040322,上海,上海市
688299.SH,金亚东,金亚东,李辰,28256.8577,20101116,浙江,宁波市
601020.SH,刘建军,徐建华,孙艳春,55516.094,20021022,西藏,拉萨市
603696.SH,林肖芳,林润泽,周倩,23520,19950928,福建,泉州市
603978.SH,陈学敏,陈学敏,周志,16000,19920723,广东,深圳市
603377.SH,徐雄,闫文辉,黄怡,61062.6157,20050812,北京,北京市
603628.SH,HONG DANIEL,HONG DANIEL,王梦瑶,27380,20070831,福建,厦门市
605183.SH,阙伟东,阙伟东,王今,41401.8,20030128,江苏,无锡市
601928.SH,梁勇,佘江涛,徐云祥,254490,19850205,江苏,南京市
688398.SH,汪坤明,严浪基,张必辉,8000,20071023,福建,龙岩市
603217.SH,刘修华,秦国栋,冯国梁,12745.6,20030217,山东,潍坊市
603313.SH,倪张根,倪张根,付冬情,37511.5703,20030530,江苏,南通市
603126.SH,马明亮,马明亮,黄剑锋,61050,19980601,天津,天津市
603348.SH,唐杰雄,唐杰雄,刘世博,25876.8206,19980904,广东,佛山市
600916.SH,陈雄伟,王琪,陈军,168000,20101216,北京,北京市
603682.SH,郁敏珺,郁敏珺,刘竹金,47250,20070509,上海,上海市
603709.SH,曹勇,曹勇,张芸,8000,20011116,浙江,湖州市
603777.SH,郁瑞芬,郁瑞芬,陆顺刚,33713.2088,20020702,上海,上海市
603408.SH,吕理镇,陈岱桦,许士伟,44668,19900630,福建,厦门市
603630.SH,吴桂谦,吴桂谦,张晨,22672,20011214,广东,汕头市
605118.SH,吴富宝,吴富宝,吴泓越,40550,20020927,福建,厦门市
603233.SH,柯云峰,柯国强,刘景荣,65862.1154,19990212,广东,广州市
603963.SH,杨君祥,王洪信,吴佩容,21970,20040322,云南,大理白族自治州
603958.SH,陈玉珍,陈芳德,钱龙宝,21736,20060821,江苏,苏州市
605006.SH,牛爱君,高贵恒,王传秋,50000,20080220,山东,临沂市
688051.SH,李玮,李玮,王转转,7733.4,20070914,北京,北京市
688662.SH,刘富林,刘富林,刘春光,6618,20030606,广东,佛山市
603019.SH,历军,历军,徐文超,145072.8974,20060307,天津,天津市
603326.SH,NINA YANTI MIAO,汪春俊,NINA YANTI MIAO,32220.455,20060619,江苏,南京市
605058.SH,陈定红,陈定红,耿丽娅,14292.395,20050622,江苏,常州市
688561.SH,齐向东,吴云坤,马勒思,67961.6,20140616,北京,北京市
603655.SH,戚建国,戚淦超,张国忠,10600,20050205,江苏,常州市
603339.SH,黄杰,黄杰,黄鑫颖,30944.1175,19900519,江苏,南通市
603596.SH,袁永彬,袁永彬,陈忠喜,40856.1,20040625,安徽,芜湖市
605398.SH,孙星炎,李灏江,杨俊雄,5949.8208,20141104,上海,上海市
688536.SH,周之栩,周之栩,李淑环,8000,20120423,江苏,苏州市
603195.SH,阮立平,阮立平,刘圣松,60057.59,20080118,浙江,宁波市
603948.SH,冯烈,冯烈,张有忠,16000,19990121,浙江,杭州市
603660.SH,陈冬根,陈卫东,龙瑞,49927.9661,20040610,江苏,苏州市
603520.SH,胡锦生,胡健,吴超群,24490.4743,19970915,浙江,台州市
603008.SH,陈阿裕,杨刚,沈洁,38741.7787,19961106,浙江,绍兴市
605222.SH,周桂华,周供华,陈永达,40058,19940711,上海,上海市
688116.SH,郑涛,郑涛,蔡永略,23185.8116,20110106,江苏,镇江市
605108.SH,沈基水,王寿凤,范仪琴,20000,20050131,安徽,合肥市
688065.SH,刘修才,刘修才,臧慧卿,41668.1976,20001124,上海,上海市
688626.SH,何永正,何永正,李祖斌,12000,20020320,河南,安阳市
603839.SH,郑安政,郑安政,张贵明,40010.222,20080605,浙江,嘉兴市
603797.SH,黄建勲,张荣,林锦顺,44977.4477,20060414,广东,汕头市
688128.SH,章晓斌,陈立新,韩保进,40450,20020906,广东,广州市
688016.SH,彭博,苗铮华,顾建华,7197.8147,20120817,上海,上海市
603029.SH,王新亭,王新亭,翟艳婷,9334,20020708,山东,济南市
601882.SH,张静章,王焕卫,谢精斌,52200,20020410,浙江,宁波市
603055.SH,施清岛,沈卫锋,施清岛,83204.4654,20010221,浙江,嘉兴市
601127.SH,张正萍,,申薇,127843.9873,20070511,重庆,重庆市
601636.SH,姚培武,张柏忠,姚培武,268621.694,20050708,湖南,株洲市
603991.SH,施君,施君,王帅,7453.4998,20041227,上海,上海市
688039.SH,孙彦龙,孙彦龙,谭亚,8000,20100512,浙江,杭州市
603127.SH,冯宇霞,高大鹏,高大鹏,27077.9529,19980225,北京,北京市
601068.SH,武建强,刘敬,张建,295906.6667,20031216,北京,北京市
601969.SH,刘明东,郭风芳,何婧,195472.0314,20070822,海南,昌江黎族自治县
603617.SH,张阿华,张君波,蒋良波,19946.0207,20030430,浙江,宁波市
603116.SH,钱金波,钱帆,熊建华,57620.08,20070919,浙江,温州市
603730.SH,姜银台,姜明,肖传龙,57953.2404,20010220,上海,上海市
603583.SH,胡仁昌,陆小健,徐铭峰,27279.7032,20100430,浙江,绍兴市
603878.SH,朱国良,沈卫强,刘一鸣,40075.8848,20010330,江苏,常州市
603985.SH,承立新,承立新,顾学俭,20384,20030730,江苏,无锡市
603030.SH,朱斌,陈文,蔡冠华,53812.8046,19981014,上海,上海市
603338.SH,许树根,许树根,梁金,48548.5571,20050516,浙江,湖州市
603816.SH,顾江生,李东来,陈邦灯,63228.9205,20061031,浙江,杭州市
605166.SH,傅昌宝,毛新华,姚双燕,31554.7,20131101,浙江,杭州市
603933.SH,杨维坚,杨维坚,蓝李春,20123.32,20070912,福建,福州市
688300.SH,李晓冬,李晓冬,柏林,8597.34,20020428,江苏,连云港市
603028.SH,沈生泉,林柱英,杨雪,22080,20050623,江苏,无锡市
603776.SH,孙继胜,孙继胜,董萍,18758,20100824,江苏,常州市
601949.SH,黄志坚,李岩,刘禹,182250,20111219,北京,北京市
603059.SH,张文生,张文生,王新余,10000,19970108,江苏,扬州市
603486.SH,庄建华,庄建华,马建军,56436.5525,19980311,江苏,苏州市
603687.SH,方能斌,方聪艺,胡鑫,41085.7106,20041122,浙江,杭州市
605169.SH,刘洪兵,刘洪兵,秦明,16000,20000113,新疆,巴音郭楞蒙古自治州
688586.SH,宋祖铭,邓长权,王永骞,40374.4467,20071228,安徽,合肥市
603967.SH,李松青,葛言华,楚旭日,26666.67,20061114,山东,青岛市
600989.SH,刘元管,刘元管,黄爱军,733336,20051102,宁夏,银川市
605228.SH,方立锋,朱春亚,方立锋,42000,20050304,浙江,宁波市
605018.SH,王长土,王庆,车斌,41668,19931111,浙江,宁波市
603706.SH,李明,田荣江,李伟伟,18938.2714,20010318,新疆,昌吉回族自治州
601228.SH,李益波,邓国生,马楚江,619318,20101228,广东,广州市
603025.SH,郑建军,茹水强,王晓军,92610.1711,20000925,北京,北京市
603666.SH,姜杰,姜杰,王少劼,13863.8738,19990406,江苏,南京市
605299.SH,张维建,张维建,傅建木,41149.9,19961010,福建,泉州市
603565.SH,卢宗俊,孙瑞,李涛,66666.6667,20100305,上海,上海市
603860.SH,常成利,程宁,赵正亮,6668,20070929,北京,北京市
603815.SH,胡先宽,胡先宽,曹振明,49900,19930223,安徽,合肥市
603809.SH,向朝东,张勇,侯凡,21634.82,20060925,四川,成都市
