代码,名称,总市值
SH600247,*ST成城,218687040
SZ002071,*ST长城,241697740
SZ000835,*ST长动,627379920
SH600112,ST天成,682334490
SH600146,*ST环球,686156200
SH600385,ST金泰,713876450
SZ002072,*ST凯瑞,756800000
SH600978,*ST宜生,771092400
SH600091,ST明科,804839040
SZ002188,*ST巴士,827884170
SZ002473,ST圣莱,851200000
SZ002356,*ST赫美,855046610
SZ002629,ST仁智,856851840
SZ002200,ST云投,876472560
SZ002175,ST东网,896996070
SH600365,ST通葡,924000000
SH600241,*ST时万,924108640
SH603996,*ST中新,927463500
SZ002592,ST八菱,932159510
SH600599,*ST熊猫,936240000
SH600311,*ST荣华,965120000
SZ002633,申科股份,969000000
SZ000611,ST天首,979683860
SZ000820,*ST节能,1000475000
SH603157,*ST拉夏,1007715820
SZ300736,百邦科技,1008315810
SH603389,*ST亚振,1014222720
SH600306,*ST商城,1029642950
SH600671,*ST目药,1055822930
SZ002052,*ST同洲,1066722360
SZ300029,ST天龙,1078000000
SH600768,宁波富邦,1090039680
SH600355,精伦电子,1097358920
SZ300478,杭州高新,1108388750
SZ000707,*ST双环,1123232750
SH600520,文一科技,1123268700
SH603029,天鹅股份,1123813600
SZ000752,*ST西发,1149987020
SZ002656,ST摩登,1154282150
SH600767,ST运盛,1156024520
SH600766,园城黄金,1161494940
SZ000609,中迪投资,1164142880
SH600561,江西长运,1166354880
SZ002021,ST中捷,1169285570
SH600721,ST百花,1170419190
SH603269,海鸥股份,1175822150
SH603813,原尚股份,1179024960
SH600734,*ST实达,1188731120
SH603729,龙韵股份,1200326680
SZ002209,达 意 隆,1204655790
SZ002569,ST步森,1205595600
SH600778,友好集团,1211701360
SZ002499,*ST科林,1217160000
SZ000695,滨海能源,1228475890
SH603286,日盈电子,1233064000
SH600455,博通股份,1234794660
SH600615,丰华股份,1248456170
SH600275,ST昌鱼,1251739610
SZ002830,名雕股份,1256062800
SH600506,香梨股份,1270279110
SH600493,凤竹纺织,1289280000
SH603196,日播时尚,1296000000
SZ300167,迪威迅,1300039200
SH600444,国机通用,1313404730
SH600847,万里股份,1318271640
SH600242,*ST中昌,1324328850
SH600689,上海三毛,1324532950
SH603518,锦泓集团,1330139350
SH600243,*ST海华,1334104000
SZ000502,绿景控股,1334397560
SZ000679,*ST友谊,1336500000
SH603958,哈森股份,1336764000
SZ002862,实丰文化,1338000000
SZ300588,熙菱信息,1341392400
SH600462,*ST九有,1342855000
SZ002058,威 尔 泰,1345545400
SH600652,ST游久,1348979700
SZ002205,国统股份,1351080300
SH600608,ST沪科,1351620500
SH600898,*ST美讯,1353527700
SZ300254,仟源医药,1354147300
SZ300553,集智股份,1357920000
SH600099,林海股份,1362926400
SH603320,迪贝电气,1363776000
SZ000687,*ST华讯,1363834900
SZ300716,国立科技,1364970600
SZ000972,ST中基,1365171900
SZ300700,岱勒新材,1365526600
SH600122,*ST宏图,1366744900
SZ000586,汇源通信,1367620800
SH600137,浪莎股份,1368823600
SH603580,艾艾精工,1374682100
SZ002086,*ST东洋,1376557000
SZ002800,天顺股份,1377099200
SZ002748,世龙实业,1377600000
SZ300665,飞鹿股份,1379784000
SZ002494,华斯股份,1380307700
SZ000702,正虹科技,1383833400
SH603316,诚邦股份,1384336800
SZ300668,杰恩设计,1391280000
SZ002691,冀凯股份,1394000000
SH603090,宏盛股份,1403000000
SZ002779,中坚科技,1405800000
SZ300535,达威股份,1407343300
SH603721,中广天择,1409200000
SZ002694,顾地科技,1409384400
SH600796,钱江生化,1410562000
SZ300264,佳创视讯,1412802000
SZ002684,ST猛狮,1418436000
SH600213,亚星客车,1425600000
SH600719,大连热电,1432282600
SZ002199,东晶电子,1433875500
SZ002872,ST天圣,1437360000
SZ000929,兰州黄河,1437828800
SH603860,中公高科,1439621200
SZ300557,理工光科,1441815200
SH600647,同达创业,1448484400
SZ002875,安奈儿,1458415400
SH603822,嘉澳环保,1460543200
SZ002316,亚联发展,1462406400
SZ300743,天地数码,1466507600
SZ002535,*ST林重,1467080000
SZ002513,*ST蓝丰,1475974400
SZ000585,*ST东电,1475995300
SZ300626,华瑞股份,1477800000
SZ002357,富临运业,1485938000
SH603917,合力科技,1486464000
SH600992,贵绳股份,1492598100
SZ002112,三变科技,1493856000
SZ002248,华东数控,1494428600
SZ002760,凤形股份,1499520000
SH603908,牧高笛,1499858100
SZ000809,铁岭新城,1501120200
SH600302,标准股份,1501682500
SZ000622,恒立实业,1505300000
SH600202,哈空调,1506528800
SZ300554,三超新材,1507935300
SH600706,曲江文旅,1510035400
SZ000755,山西路桥,1511032100
SZ002898,赛隆药业,1511840000
SH600250,南纺股份,1515698100
SZ300330,华虹计通,1521593700
SZ300282,三盛教育,1523427300
SZ000669,*ST金鸿,1524115700
SZ002719,*ST麦趣,1527203000
SZ300084,海默科技,1535215300
SZ002857,三晖电气,1538560000
SZ002667,鞍重股份,1539339100
SZ002899,英派斯,1544400000
SH600666,ST瑞德,1546431100
SZ002836,新宏泽,1547200000
SZ000985,大庆华科,1547895600
SH603356,华菱精工,1549410800
SH600301,ST南化,1549626200
SZ000007,全新好,1552087200
SZ002843,泰嘉股份,1554000000
SH603080,新疆火炬,1555085000
SZ002849,威星智能,1556276300
SZ002871,伟隆股份,1561178400
SZ000692,惠天热电,1561200600
SH600156,华升股份,1564210600
SZ000638,万方发展,1568658000
SH600128,弘业股份,1569441300
SZ002591,恒大高新,1571118300
SZ002883,中设股份,1574817400
SZ002193,如意集团,1575527600
SZ002700,ST浩源,1575652300
SZ000663,*ST永林,1575680800
SZ300654,世纪天鸿,1576401500
SH600083,*ST博信,1577800000
SZ002806,华锋股份,1578233400
SZ300270,中威电子,1586703600
SH600319,ST亚星,1587437800
SZ000017,*ST中华A,1587882100
SZ002731,萃华珠宝,1588167200
SZ300325,ST德威,1589074100
SH603088,宁波精达,1589324800
