Index,code1,上市公司简称,门类名称及代码,行业大类代码,行业大类名称,
1,x000998,隆平高科,农、林、牧、渔业(A),1,农业,
2,x002041,登海种业,农、林、牧、渔业(A),1,农业,
3,x002772,众兴菌业,农、林、牧、渔业(A),1,农业,
4,x300087,荃银高科,农、林、牧、渔业(A),1,农业,
5,x300189,神农科技,农、林、牧、渔业(A),1,农业,
6,x300511,雪榕生物,农、林、牧、渔业(A),1,农业,
7,x600108,亚盛集团,农、林、牧、渔业(A),1,农业,
8,x600313,农发种业,农、林、牧、渔业(A),1,农业,
9,x600354,*ST敦种,农、林、牧、渔业(A),1,农业,
10,x600359,新农开发,农、林、牧、渔业(A),1,农业,
11,x600371,万向德农,农、林、牧、渔业(A),1,农业,
12,x600506,香梨股份,农、林、牧、渔业(A),1,农业,
13,x600540,新赛股份,农、林、牧、渔业(A),1,农业,
14,x600598,北大荒,农、林、牧、渔业(A),1,农业,
15,x601118,海南橡胶,农、林、牧、渔业(A),1,农业,
16,x000592,平潭发展,农、林、牧、渔业(A),2,林业,
17,x002200,ST云投,农、林、牧、渔业(A),2,林业,
18,x002679,福建金森,农、林、牧、渔业(A),2,林业,
19,x600265,ST景谷,农、林、牧、渔业(A),2,林业,
20,x000735,罗牛山,农、林、牧、渔业(A),3,畜牧业,
21,x002234,民和股份,农、林、牧、渔业(A),3,畜牧业,
22,x002299,圣农发展,农、林、牧、渔业(A),3,畜牧业,
23,x002321,华英农业,农、林、牧、渔业(A),3,畜牧业,
24,x002458,益生股份,农、林、牧、渔业(A),3,畜牧业,
25,x002714,牧原股份,农、林、牧、渔业(A),3,畜牧业,
26,x002746,仙坛股份,农、林、牧、渔业(A),3,畜牧业,
27,x002982,湘佳股份,农、林、牧、渔业(A),3,畜牧业,
28,x300106,西部牧业,农、林、牧、渔业(A),3,畜牧业,
29,x300313,天山生物,农、林、牧、渔业(A),3,畜牧业,
30,x300498,温氏股份,农、林、牧、渔业(A),3,畜牧业,
31,x300761,立华股份,农、林、牧、渔业(A),3,畜牧业,
32,x600975,新五丰,农、林、牧、渔业(A),3,畜牧业,
33,x603477,巨星农牧,农、林、牧、渔业(A),3,畜牧业,
34,x000798,中水渔业,农、林、牧、渔业(A),4,渔业,
35,x002069,獐子岛,农、林、牧、渔业(A),4,渔业,
36,x002086,*ST东洋,农、林、牧、渔业(A),4,渔业,
37,x002696,百洋股份,农、林、牧、渔业(A),4,渔业,
38,x200992,中鲁B,农、林、牧、渔业(A),4,渔业,
39,x300094,国联水产,农、林、牧、渔业(A),4,渔业,
40,x600097,开创国际,农、林、牧、渔业(A),4,渔业,
41,x600257,大湖股份,农、林、牧、渔业(A),4,渔业,
42,x600467,好当家,农、林、牧、渔业(A),4,渔业,
43,x000713,丰乐种业,农、林、牧、渔业(A),5,农、林、牧、渔服务业,
44,x000552,靖远煤电,采矿业（B),6,煤炭开采和洗选业,
45,x000780,*ST平能,采矿业（B),6,煤炭开采和洗选业,
46,x000937,冀中能源,采矿业（B),6,煤炭开采和洗选业,
47,x000983,山西焦煤,采矿业（B),6,煤炭开采和洗选业,
48,x002128,露天煤业,采矿业（B),6,煤炭开采和洗选业,
49,x600121,郑州煤电,采矿业（B),6,煤炭开采和洗选业,
50,x600123,兰花科创,采矿业（B),6,煤炭开采和洗选业,
51,x600188,兖州煤业,采矿业（B),6,煤炭开采和洗选业,
52,x600348,阳泉煤业,采矿业（B),6,煤炭开采和洗选业,
53,x600395,盘江股份,采矿业（B),6,煤炭开采和洗选业,
54,x600397,安源煤业,采矿业（B),6,煤炭开采和洗选业,
55,x600403,大有能源,采矿业（B),6,煤炭开采和洗选业,
56,x600508,上海能源,采矿业（B),6,煤炭开采和洗选业,
57,x600758,辽宁能源,采矿业（B),6,煤炭开采和洗选业,
58,x600971,恒源煤电,采矿业（B),6,煤炭开采和洗选业,
59,x600985,淮北矿业,采矿业（B),6,煤炭开采和洗选业,
60,x601001,晋控煤业,采矿业（B),6,煤炭开采和洗选业,
61,x601088,中国神华,采矿业（B),6,煤炭开采和洗选业,
62,x601101,昊华能源,采矿业（B),6,煤炭开采和洗选业,
63,x601225,陕西煤业,采矿业（B),6,煤炭开采和洗选业,
64,x601666,平煤股份,采矿业（B),6,煤炭开采和洗选业,
65,x601699,潞安环能,采矿业（B),6,煤炭开采和洗选业,
66,x601898,中煤能源,采矿业（B),6,煤炭开采和洗选业,
67,x601918,新集能源,采矿业（B),6,煤炭开采和洗选业,
68,x900948,伊泰B股,采矿业（B),6,煤炭开采和洗选业,
69,x000968,蓝焰控股,采矿业（B),7,石油和天然气开采业,
70,x300483,首华燃气,采矿业（B),7,石油和天然气开采业,
71,x600028,中国石化,采矿业（B),7,石油和天然气开采业,
72,x600256,广汇能源,采矿业（B),7,石油和天然气开采业,
73,x600759,洲际油气,采矿业（B),7,石油和天然气开采业,
74,x600777,新潮能源,采矿业（B),7,石油和天然气开采业,
75,x601857,中国石油,采矿业（B),7,石油和天然气开采业,
76,x000655,金岭矿业,采矿业（B),8,黑色金属矿采选业,
77,x000762,西藏矿业,采矿业（B),8,黑色金属矿采选业,
78,x000923,河钢资源,采矿业（B),8,黑色金属矿采选业,
79,x002978,安宁股份,采矿业（B),8,黑色金属矿采选业,
80,x600532,宏达矿业,采矿业（B),8,黑色金属矿采选业,
81,x601969,海南矿业,采矿业（B),8,黑色金属矿采选业,
82,x000426,兴业矿业,采矿业（B),9,有色金属矿采选业,
83,x000506,中润资源,采矿业（B),9,有色金属矿采选业,
84,x000603,盛达资源,采矿业（B),9,有色金属矿采选业,
85,x000688,国城矿业,采矿业（B),9,有色金属矿采选业,
