Index,code1,上市公司简称,门类名称及代码,行业大类代码,行业大类名称,
1,000998,隆平高科,农、林、牧、渔业(A),01,农业,
2,002041,登海种业,农、林、牧、渔业(A),01,农业,
3,002772,众兴菌业,农、林、牧、渔业(A),01,农业,
4,300087,荃银高科,农、林、牧、渔业(A),01,农业,
5,300189,神农科技,农、林、牧、渔业(A),01,农业,
6,300511,雪榕生物,农、林、牧、渔业(A),01,农业,
7,600108,亚盛集团,农、林、牧、渔业(A),01,农业,
8,600313,农发种业,农、林、牧、渔业(A),01,农业,
9,600354,*ST敦种,农、林、牧、渔业(A),01,农业,
10,600359,新农开发,农、林、牧、渔业(A),01,农业,
11,600371,万向德农,农、林、牧、渔业(A),01,农业,
12,600506,香梨股份,农、林、牧、渔业(A),01,农业,
13,600540,新赛股份,农、林、牧、渔业(A),01,农业,
14,600598,北大荒,农、林、牧、渔业(A),01,农业,
15,601118,海南橡胶,农、林、牧、渔业(A),01,农业,
16,000592,平潭发展,农、林、牧、渔业(A),02,林业,
17,002200,ST云投,农、林、牧、渔业(A),02,林业,
18,002679,福建金森,农、林、牧、渔业(A),02,林业,
19,600265,ST景谷,农、林、牧、渔业(A),02,林业,
20,000735,罗牛山,农、林、牧、渔业(A),03,畜牧业,
21,002234,民和股份,农、林、牧、渔业(A),03,畜牧业,
22,002299,圣农发展,农、林、牧、渔业(A),03,畜牧业,
23,002321,华英农业,农、林、牧、渔业(A),03,畜牧业,
24,002458,益生股份,农、林、牧、渔业(A),03,畜牧业,
25,002714,牧原股份,农、林、牧、渔业(A),03,畜牧业,
26,002746,仙坛股份,农、林、牧、渔业(A),03,畜牧业,
27,002982,湘佳股份,农、林、牧、渔业(A),03,畜牧业,
28,300106,西部牧业,农、林、牧、渔业(A),03,畜牧业,
29,300313,天山生物,农、林、牧、渔业(A),03,畜牧业,
30,300498,温氏股份,农、林、牧、渔业(A),03,畜牧业,
31,300761,立华股份,农、林、牧、渔业(A),03,畜牧业,
32,600975,新五丰,农、林、牧、渔业(A),03,畜牧业,
33,603477,巨星农牧,农、林、牧、渔业(A),03,畜牧业,
34,000798,中水渔业,农、林、牧、渔业(A),04,渔业,
35,002069,獐子岛,农、林、牧、渔业(A),04,渔业,
36,002086,*ST东洋,农、林、牧、渔业(A),04,渔业,
37,002696,百洋股份,农、林、牧、渔业(A),04,渔业,
38,200992,中鲁B,农、林、牧、渔业(A),04,渔业,
39,300094,国联水产,农、林、牧、渔业(A),04,渔业,
40,600097,开创国际,农、林、牧、渔业(A),04,渔业,
41,600257,大湖股份,农、林、牧、渔业(A),04,渔业,
42,600467,好当家,农、林、牧、渔业(A),04,渔业,
43,000713,丰乐种业,农、林、牧、渔业(A),05,农、林、牧、渔服务业,
44,000552,靖远煤电,采矿业（B),06,煤炭开采和洗选业,
45,000780,*ST平能,采矿业（B),06,煤炭开采和洗选业,
46,000937,冀中能源,采矿业（B),06,煤炭开采和洗选业,
47,000983,山西焦煤,采矿业（B),06,煤炭开采和洗选业,
48,002128,露天煤业,采矿业（B),06,煤炭开采和洗选业,
49,600121,郑州煤电,采矿业（B),06,煤炭开采和洗选业,
50,600123,兰花科创,采矿业（B),06,煤炭开采和洗选业,
51,600188,兖州煤业,采矿业（B),06,煤炭开采和洗选业,
52,600348,阳泉煤业,采矿业（B),06,煤炭开采和洗选业,
53,600395,盘江股份,采矿业（B),06,煤炭开采和洗选业,
54,600397,安源煤业,采矿业（B),06,煤炭开采和洗选业,
55,600403,大有能源,采矿业（B),06,煤炭开采和洗选业,
56,600508,上海能源,采矿业（B),06,煤炭开采和洗选业,
57,600758,辽宁能源,采矿业（B),06,煤炭开采和洗选业,
58,600971,恒源煤电,采矿业（B),06,煤炭开采和洗选业,
59,600985,淮北矿业,采矿业（B),06,煤炭开采和洗选业,
60,601001,晋控煤业,采矿业（B),06,煤炭开采和洗选业,
61,601088,中国神华,采矿业（B),06,煤炭开采和洗选业,
62,601101,昊华能源,采矿业（B),06,煤炭开采和洗选业,
63,601225,陕西煤业,采矿业（B),06,煤炭开采和洗选业,
64,601666,平煤股份,采矿业（B),06,煤炭开采和洗选业,
65,601699,潞安环能,采矿业（B),06,煤炭开采和洗选业,
66,601898,中煤能源,采矿业（B),06,煤炭开采和洗选业,
67,601918,新集能源,采矿业（B),06,煤炭开采和洗选业,
68,900948,伊泰B股,采矿业（B),06,煤炭开采和洗选业,
69,000968,蓝焰控股,采矿业（B),07,石油和天然气开采业,
70,300483,首华燃气,采矿业（B),07,石油和天然气开采业,
71,600028,中国石化,采矿业（B),07,石油和天然气开采业,
72,600256,广汇能源,采矿业（B),07,石油和天然气开采业,
73,600759,洲际油气,采矿业（B),07,石油和天然气开采业,
74,600777,新潮能源,采矿业（B),07,石油和天然气开采业,
75,601857,中国石油,采矿业（B),07,石油和天然气开采业,
76,000655,金岭矿业,采矿业（B),08,黑色金属矿采选业,
77,000762,西藏矿业,采矿业（B),08,黑色金属矿采选业,
78,000923,河钢资源,采矿业（B),08,黑色金属矿采选业,
79,002978,安宁股份,采矿业（B),08,黑色金属矿采选业,
80,600532,宏达矿业,采矿业（B),08,黑色金属矿采选业,
81,601969,海南矿业,采矿业（B),08,黑色金属矿采选业,
82,000426,兴业矿业,采矿业（B),09,有色金属矿采选业,
83,000506,中润资源,采矿业（B),09,有色金属矿采选业,
84,000603,盛达资源,采矿业（B),09,有色金属矿采选业,
85,000688,国城矿业,采矿业（B),09,有色金属矿采选业,
86,000758,中色股份,采矿业（B),09,有色金属矿采选业,
87,000975,银泰黄金,采矿业（B),09,有色金属矿采选业,
88,002155,湖南黄金,采矿业（B),09,有色金属矿采选业,
89,600259,广晟有色,采矿业（B),09,有色金属矿采选业,
90,600311,*ST荣华,采矿业（B),09,有色金属矿采选业,
91,600338,西藏珠峰,采矿业（B),09,有色金属矿采选业,
