code2,名称,总市值
x600247,*ST成城,218687040
x002071,*ST长城,241697740
x000835,*ST长动,627379920
x600112,ST天成,682334490
x600146,*ST环球,686156200
x600385,ST金泰,713876450
x002072,*ST凯瑞,756800000
x600978,*ST宜生,771092400
x600091,ST明科,804839040
x002188,*ST巴士,827884170
x002473,ST圣莱,851200000
x002356,*ST赫美,855046610
x002629,ST仁智,856851840
x002200,ST云投,876472560
x002175,ST东网,896996070
x600365,ST通葡,924000000
x600241,*ST时万,924108640
x603996,*ST中新,927463500
x002592,ST八菱,932159510
x600599,*ST熊猫,936240000
x600311,*ST荣华,965120000
x002633,申科股份,969000000
x000611,ST天首,979683860
x000820,*ST节能,1000475000
x603157,*ST拉夏,1007715820
x300736,百邦科技,1008315810
x603389,*ST亚振,1014222720
x600306,*ST商城,1029642950
x600671,*ST目药,1055822930
x002052,*ST同洲,1066722360
x300029,ST天龙,1078000000
x600768,宁波富邦,1090039680
x600355,精伦电子,1097358920
x300478,杭州高新,1108388750
x000707,*ST双环,1123232750
x600520,文一科技,1123268700
x603029,天鹅股份,1123813600
x000752,*ST西发,1149987020
x002656,ST摩登,1154282150
x600767,ST运盛,1156024520
x600766,园城黄金,1161494940
x000609,中迪投资,1164142880
x600561,江西长运,1166354880
x002021,ST中捷,1169285570
x600721,ST百花,1170419190
x603269,海鸥股份,1175822150
x603813,原尚股份,1179024960
x600734,*ST实达,1188731120
x603729,龙韵股份,1200326680
x002209,达 意 隆,1204655790
x002569,ST步森,1205595600
x600778,友好集团,1211701360
x002499,*ST科林,1217160000
x000695,滨海能源,1228475890
x603286,日盈电子,1233064000
x600455,博通股份,1234794660
x600615,丰华股份,1248456170
x600275,ST昌鱼,1251739610
x002830,名雕股份,1256062800
x600506,香梨股份,1270279110
x600493,凤竹纺织,1289280000
x603196,日播时尚,1296000000
x300167,迪威迅,1300039200
x600444,国机通用,1313404730
x600847,万里股份,1318271640
x600242,*ST中昌,1324328850
x600689,上海三毛,1324532950
x603518,锦泓集团,1330139350
x600243,*ST海华,1334104000
x000502,绿景控股,1334397560
x000679,*ST友谊,1336500000
x603958,哈森股份,1336764000
x002862,实丰文化,1338000000
x300588,熙菱信息,1341392400
x600462,*ST九有,1342855000
x002058,威 尔 泰,1345545400
x600652,ST游久,1348979700
x002205,国统股份,1351080300
x600608,ST沪科,1351620500
x600898,*ST美讯,1353527700
x300254,仟源医药,1354147300
x300553,集智股份,1357920000
x600099,林海股份,1362926400
x603320,迪贝电气,1363776000
x000687,*ST华讯,1363834900
x300716,国立科技,1364970600
x000972,ST中基,1365171900
x300700,岱勒新材,1365526600
x600122,*ST宏图,1366744900
x000586,汇源通信,1367620800
x600137,浪莎股份,1368823600
x603580,艾艾精工,1374682100
x002086,*ST东洋,1376557000
x002800,天顺股份,1377099200
x002748,世龙实业,1377600000
x300665,飞鹿股份,1379784000
x002494,华斯股份,1380307700
x000702,正虹科技,1383833400
x603316,诚邦股份,1384336800
x300668,杰恩设计,1391280000
x002691,冀凯股份,1394000000
x603090,宏盛股份,1403000000
x002779,中坚科技,1405800000
x300535,达威股份,1407343300
x603721,中广天择,1409200000
x002694,顾地科技,1409384400
x600796,钱江生化,1410562000
x300264,佳创视讯,1412802000
x002684,ST猛狮,1418436000
x600213,亚星客车,1425600000
x600719,大连热电,1432282600
x002199,东晶电子,1433875500
x002872,ST天圣,1437360000
x000929,兰州黄河,1437828800
x603860,中公高科,1439621200
x300557,理工光科,1441815200
x600647,同达创业,1448484400
x002875,安奈儿,1458415400
